Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
ECON3071/L1/01,Advanced Macroeconomics,Lecture,28,Monday,9:00,11:00,2:00,TB-109+,Teaching Building Seminar Room 109 - Level 1,40,Jingong Huang,"2, 4-11"
ECON4044/L1/01,Microeconomics: consumer and firm behaviour,Lecture,11,Monday,9:00,11:00,2:00,TB-412+,Teaching Building Seminar Room 412 - Level 4,16,Stuart Mcdonald,"2, 4-14"
ECON1035/S1/09,Economic Integration I,Seminar,19,Monday,9:00,11:00,2:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Chang Liu,"7, 12"
ECON3064/L1/01,Advanced Monetary Economics,Lecture,49,Monday,11:00,12:00,1:00,DB-A04+,DB-A04 - Teaching Room A04,60,Chaoyan Wang,"2, 4-9"
ECON1035/S1/07,Economic Integration I,Seminar,19,Monday,11:00,13:00,2:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Chang Liu,"7, 12"
ECON1042/S1/02,Growth and Development in Long-Run Historical Perspective,Seminar,19,Monday,13:00,14:30,1:30,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Sinchan Mitra,"7, 10, 13"
ECON2032/L1/01,Econometrics I,Lecture,160,Monday,14:00,16:00,2:00,TB-329+,Teaching Building Tiered Lectue Theatre 329 - Level 3,276,Chee Kian Leong,4月14日
ECON1033/L1/01,Introduction to Microeconomics,Lecture,188,Monday,15:00,18:00,3:00,DB-A05+,The Lord Dearing Building - Lecture Hall A05,252,Jenyu Chou,"2, 4-12"
ECON3077/L1/01,Advanced Health Economics,Lecture,40,Monday,15:00,18:00,3:00,TB-331+,Teaching Building Seminar Room 331 - Level 3,45,Chee-Ruey Hsieh,"2, 5-13"
,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
ECON2043/L1/01,Experimental and Behavioural Economics,Lecture,94,Tuesday,9:00,10:00,1:00,TB-329+,Teaching Building Tiered Lectue Theatre 329 - Level 3,276,Tom Lane,"2, 4-12"
ECON4046/L1/01,Economic Data Analysis,Lecture,11,Tuesday,9:00,11:00,2:00,TB-412+,Teaching Building Seminar Room 412 - Level 4,16,Chew Lian Chua (Michael),"2, 4-12"
ECON1035/L1/01,Economic Integration I,Lecture,170,Tuesday,9:00,11:00,2:00,PB-329+,Portland Building-Lecture Room 329 - Level 3,276,Chang Liu,"2, 4-12"
ECON2043/S1/03,Experimental and Behavioural Economics,Seminar,19,Tuesday,9:00,12:00,3:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Tom Lane,13
ECON2028/S1/06 W12,Microeconomic Theory,Seminar,20,Tuesday,9:00,10:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,14
ECON2030/S1/01,International Trade,Seminar,19,Tuesday,10:00,11:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Wai-Heng Loke,"6, 9, 12"
ECON2034/S1/03,Labour Economics,Seminar,16,Tuesday,10:00,11:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Minghai Zhou,11月13日
ECON2028/S1/07 W12,Microeconomic Theory,Seminar,20,Tuesday,10:00,11:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,14
ECON3067/L1/01,Dissertation,Lecture,151,Tuesday,11:00,13:00,2:00,DB-C05+,The Lord Dearing Building - Teaching Room C05,160,Wai-Heng Loke,2
ECON3067/L2/01,Dissertation,Lecture,151,Tuesday,11:00,12:00,1:00,DB-C05+,The Lord Dearing Building - Teaching Room C05,160,Wai-Heng Loke,"4-7, 10"
ECON1041/S1/02,Economic Perspectives,Seminar,21,Tuesday,11:00,12:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Minghai Zhou,8月10日
ECON2034/S1/02,Labour Economics,Seminar,16,Tuesday,11:00,12:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Minghai Zhou,11月13日
ECON2028/S1/08 W12,Microeconomic Theory,Seminar,20,Tuesday,11:00,12:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,14
ECON1041/S1/01,Economic Perspectives,Seminar,21,Tuesday,12:00,13:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Minghai Zhou,8月10日
ECON2034/S1/01,Labour Economics,Seminar,16,Tuesday,12:00,13:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Minghai Zhou,11月13日
ECON2028/S1/05 W12,Microeconomic Theory,Seminar,20,Tuesday,12:00,13:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Chen Qu,14
ECON3076/S1/02,Topics in Time Series Econometrics,Seminar,20,Tuesday,13:00,14:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Zhenjiang Lin,"6, 9"
ECON4045/S1/01,"Macroeconomics: Economic Cycles, Frictions and Policy",Seminar,11,Tuesday,13:00,14:30,1:30,TB-412+,Teaching Building Seminar Room 412 - Level 4,16,Eric Scheffel,"5, 7, 9, 11"
ECON2028/L1/01,Microeconomic Theory,Lecture,160,Tuesday,13:00,16:00,3:00,PB-329+,Portland Building-Lecture Room 329 - Level 3,276,Chen Qu,"2, 4-13"
ECON3077/S1/01,Advanced Health Economics,Seminar,20,Tuesday,13:00,14:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Chee-Ruey Hsieh,11月13日
ECON3076/S1/01,Topics in Time Series Econometrics,Seminar,20,Tuesday,14:00,15:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Zhenjiang Lin,"6, 9"
ECON3077/S1/02,Advanced Health Economics,Seminar,20,Tuesday,14:00,15:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Chee-Ruey Hsieh,11月13日
ECON1042/L1/01,Growth and Development in Long-Run Historical Perspective,Lecture,113,Tuesday,14:00,16:00,2:00,DB-A05+,The Lord Dearing Building - Lecture Hall A05,252,Sinchan Mitra,"2, 4-14"
ECON3071/L2/01,Advanced Macroeconomics,Lecture,28,Tuesday,15:00,16:00,1:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Jingong Huang,"2, 4-12"
ECON3074/L1/01,Advanced Development Economics,Lecture,8,Tuesday,15:00,16:00,1:00,DB-C07+,The Lord Dearing Building - Teaching Room C07,20,Simon Appleton,"2, 4-13"
ECON3077/S1/03,Advanced Health Economics,Seminar,20,Tuesday,15:00,16:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Chee-Ruey Hsieh,11月13日
,,,,,,,,,,,,
Wednesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
