Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
EEEE1038/L1/01,Computer Aided Engineering,Lecture,88,Monday,9:00,11:00,2:00,DB-B05+,The Lord Dearing Building - Teaching Room B05,102,Jing Wang,"2, 4, 6-8, 10-12"
EEEE2056/L1/01,Electrical Energy Conditioning and Control,Lecture,45,Monday,9:00,11:00,2:00,DB-A04+,DB-A04 - Teaching Room A04,60,John Xu,"2, 5-6, 8-9, 11-14"
EEEE3076/L1/01,"Robotics, Dynamics and Control",Lecture,33,Monday,9:00,11:00,2:00,DB-C04+,The Lord Dearing Building - Teaching Room C04,48,Liang Huang,"2, 4-14"
EEEE1039/P1(Mon)/01,Applied Electrical and Electronic Engineering: Construction Project,Practical,8,Monday,10:00,18:00,8:00,"PMB-208*,PMB-207*","PMB Lab Room 208 - Level 2 - Electrical engineering lab &Physics Lab,PMB Lab Room 207 - Level 2 - Electrical Engineering Lab","40,40","Gigi Lu,Jing Wang,Chunyang Gu,Giampaolo Buticchi","5, 9, 13-14"
EEEE2059&2062/P01 (Mon)/01,Practical Engineering Design Solutions and Project Development,Practical,23,Monday,11:00,18:00,7:00,PMB-207*,PMB Lab Room 207 - Level 2 - Electrical Engineering Lab,40,"Forrest Ji,Giampaolo Buticchi,Jing Li","4, 7, 10"
EEEE2059&2062/P01 (Mon)/01 (staff/location refer to EEEE2059 timetable),Applied Mechatronic Engineering Project 2,Practical,22,Monday,11:00,18:00,7:00,,,,,"4, 7, 10"
EEEE1038/C1/01,Computer Aided Engineering,Computing,30,Monday,12:00,15:00,3:00,"PMB-309(COMP)+,PMB-306(COMP)+","PMB Computer Teaching Room 309 - Level 3 - Priority by Faculty Office of Science and Engineering,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering","32,72",Jing Wang,"2, 4, 6-8, 10-12"
EEEE3069/L1/01,Digital Communications,Lecture,23,Monday,13:00,15:00,2:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,Sherif Welsen,"2, 4-14"
EEEE2058/L1/01,Modelling: Methods and Tools,Lecture,45,Monday,14:00,16:00,2:00,DB-A04+,DB-A04 - Teaching Room A04,60,Chengbo Wang,"2, 5-6, 8-9, 11-14"
EEEE1039/C1 safery training/01,Applied Electrical and Electronic Engineering: Construction Project,Computing,30,Monday,15:00,16:00,1:00,PMB-309(COMP)+,PMB Computer Teaching Room 309 - Level 3 - Priority by Faculty Office of Science and Engineering,32,,2
EEEE1039/C1 safery training/02,Applied Electrical and Electronic Engineering: Construction Project,Computing,30,Monday,16:00,17:00,1:00,PMB-309(COMP)+,PMB Computer Teaching Room 309 - Level 3 - Priority by Faculty Office of Science and Engineering,32,,2
EEEE3070/L1/01,Embedded Computing,Lecture,27,Monday,16:00,18:00,2:00,DB-A01+,The Lord Dearing Building - Teaching Room A01,30,Sherif Welsen,"2, 4-14"
EEEE3108/L1/01,Optical networks,Lecture,15,Monday,16:00,18:00,2:00,TB-111+,Teaching Building Seminar Room 111 - Level 1,20,Yaping Zhang,"2, 4-14"
EEEE1039/C1 safery training/03,Applied Electrical and Electronic Engineering: Construction Project,Computing,30,Monday,17:00,18:00,1:00,PMB-309(COMP)+,PMB Computer Teaching Room 309 - Level 3 - Priority by Faculty Office of Science and Engineering,32,,2
,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
