Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
INTS4022/L1/01,Politics and History of the Middle East,Lecture,20,Monday,9:00,10:00,1:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Ian Nelson,"2, 4-14"
INTS4022/S1/01,Politics and History of the Middle East,Seminar,20,Monday,10:00,11:00,1:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Ian Nelson,4月13日
INTS3023/L1/01,EU: Policies and the Law,Lecture,20,Monday,11:00,13:00,2:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,David Kiwuwa,"2, 4-8"
INTS1019/L1/01,Diplomacy,Lecture,37,Monday,13:00,14:00,1:00,TB-119+,Teaching Building Seminar Room 119 - Level 1,41,"Nicholas Smith,Gary Rawnsley","2, 4-13"
INTS2001/L1/01,The Making of Contemporary Europe 1945-2000.,Lecture,45,Monday,13:00,14:00,1:00,PB-312+,Portland Building-Seminar Room 312 - Level 3,48,Rosaria Franco,"2, 4-14"
INTS4001/L1/01,Core Concepts in International Relations and World History,Lecture,60,Monday,14:00,15:00,1:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,"Nicholas Smith,Maximilian Mayer,Christian Mller,Julia Trombetta","2, 4-8"
INTS4013/L1/01,Research Methods I (Qualitative),Lecture,60,Monday,14:00,15:00,1:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,"Nagatomi Hirayama,Grant Dawson,Tracey Fallon",9月14日
INTS2001/S1/02,The Making of Contemporary Europe 1945-2000.,Seminar,20,Monday,14:00,16:00,2:00,PB-219+,Portland Building-Seminar Room 219 - Level 2,20,Rosaria Franco,"2, 4-14"
INTS4001/S1/02,Core Concepts in International Relations and World History,Seminar,20,Monday,15:00,16:00,1:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,"Nicholas Smith,Maximilian Mayer,Christian Mller,Julia Trombetta",4月8日
INTS4013/S1/02,Research Methods I (Qualitative),Seminar,20,Monday,15:00,16:00,1:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,"Nagatomi Hirayama,Grant Dawson,Tracey Fallon",9月14日
INTS4001/S1/01,Core Concepts in International Relations and World History,Seminar,20,Monday,16:00,17:00,1:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,"Nicholas Smith,Maximilian Mayer,Christian Mller,Julia Trombetta",4月8日
INTS4013/S1/01,Research Methods I (Qualitative),Seminar,20,Monday,16:00,17:00,1:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,"Nagatomi Hirayama,Grant Dawson,Tracey Fallon",9月14日
INTS1004/L1/01,Introduction to Comparative Politics (20 credits),Lecture,80,Monday,16:00,18:00,2:00,TB-118+,Teaching Building Lecture Hall 118 - Level 1,108,David Kiwuwa,"2, 4-14"
"INTS1015/L1/01, refer to INTS1004/L1/01 for location",Introduction to Comparative Politics (10 credits),Lecture,35,Monday,16:00,18:00,2:00,,,,,"2, 4-14"
INTS2001/S1/03,The Making of Contemporary Europe 1945-2000.,Seminar,20,Monday,16:00,18:00,2:00,PB-219+,Portland Building-Seminar Room 219 - Level 2,20,Rosaria Franco,"2, 4-14"
,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
INTS2020/L1/01,Politics and History of the Middle East,Lecture,20,Tuesday,9:00,10:00,1:00,TB-419+,Teaching Building Seminar Room 419 - Level 4,36,Ian Nelson,"2, 4-14"
INTS3013/L1/01,Northeast Asia: A Region of Distant Neighbours,Lecture,31,Tuesday,9:00,10:30,1:30,IAMET- 121+,IAMET- 121+,99,Nagatomi Hirayama,"2, 4-14"
INTS4018/L1/01,"Democratisation in Asia, Africa and Latin America",Lecture,20,Tuesday,10:00,12:00,2:00,TB-111+,Teaching Building Seminar Room 111 - Level 1,20,David Kiwuwa,"2, 4-8"
INTS2020/S1/01,Politics and History of the Middle East,Seminar,20,Tuesday,10:00,11:00,1:00,TB-419+,Teaching Building Seminar Room 419 - Level 4,36,Ian Nelson,4月13日
INTS4018/S1/01,"Democratisation in Asia, Africa and Latin America",Seminar,20,Tuesday,10:00,12:00,2:00,TB-111+,Teaching Building Seminar Room 111 - Level 1,20,David Kiwuwa,9月14日
INTS2020/S1/02,Politics and History of the Middle East,Seminar,20,Tuesday,11:00,12:00,1:00,TB-419+,Teaching Building Seminar Room 419 - Level 4,36,Ian Nelson,4月13日
"CHIN2022/L1/01, refer to CHIN2019/L1/01 for location",The Rise of Modern China (10 credits),Lecture,20,Tuesday,13:00,15:00,2:00,,,,,"2, 4-13"
CHIN2019/L1/01,The Rise of Modern China (20 credits),Lecture,40,Tuesday,13:00,15:00,2:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,Tracey Fallon,"2, 4-13"
