Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
LANG1078/S1/04,Japanese 1A,Seminar,16,Monday,9:00,11:00,2:00,PB-219+,Portland Building-Seminar Room 219 - Level 2,20,Toru Ikarashi,"2, 4-13"
LANG1064/S1/01,Inter Faculty German 1a,Seminar,16,Monday,9:00,11:00,2:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,Swantje Boschen,"2, 4-13"
LANG1068/S1/01,Inter Faculty Spanish 1a,Seminar,18,Monday,9:00,11:00,2:00,TB-228+,Teaching Building Seminar Room 228 - Level 2,30,Alexandre Gonz：?Lez,"2, 4-13"
LANG1066/S1/01,Inter Faculty Japanese 1a,Seminar,17,Monday,9:00,11:00,2:00,TB-120+,Teaching Building Seminar Room 120 - Level 1,30,Qie Yi,"2, 4-13"
LANG2073/S1/01 - Refer to LANG2063/S1/01 Timetable,Korean 2A,Seminar,1,Monday,9:00,11:00,2:00,,,,,"2, 4-13"
LANG2063/S1/01,Inter Faculty Korean 2A,Seminar,1,Monday,9:00,11:00,2:00,TB-416+,Teaching Building Seminar Room 416 - Level 4,16,Kyung Min Nam,"2, 4-13"
LANG1076/S1/06,Spanish 1A,Seminar,15,Monday,9:00,11:00,2:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Virginia Arrieta,"2, 4-13"
LANG3076/S1/01,Italian 3A,Seminar,4,Monday,9:00,11:00,2:00,TB-323+,Teaching Building Seminar Room 323 - Level 3,16,Giovanna Comerio,"2, 4-13"
LANG3070/S1/01,German 3A,Seminar,16,Monday,9:00,11:00,2:00,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,Gerald Siegler,"2, 4-13"
LANG3068/S1/03,French 3A,Seminar,18,Monday,9:00,11:00,2:00,PB-207+,Portland Building-Seminar Room 207 - Level 2,18,Audrey Heck,"2, 4-13"
LANG2075/S1/02,Mandarin 2A,Seminar,10,Monday,9:00,11:00,2:00,TB-221+,Teaching Building Seminar Room 221 - Level 2,18,Wendy Gu,"2, 4-13"
LANG1062/S1/03,Inter Faculty French 1a,Seminar,19,Monday,11:00,13:00,2:00,DB-C07+,The Lord Dearing Building - Teaching Room C07,20,Gr：?Gory Huet,"2, 4-13"
LANG2069/S1/01,Spanish 2A,Seminar,18,Monday,11:00,13:00,2:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Alexandre Gonz：?Lez,"2, 4-13"
LANG1068/S1/03,Inter Faculty Spanish 1a,Seminar,18,Monday,11:00,13:00,2:00,TB-228+,Teaching Building Seminar Room 228 - Level 2,30,Virginia Arrieta,"2, 4-13"
LANG2065/S1/01,French 2A,Seminar,16,Monday,11:00,13:00,2:00,TB-323+,Teaching Building Seminar Room 323 - Level 3,16,Sylvain Pourciel,"2, 4-13"
LANG3078/S1/01,Korean 3A,Seminar,7,Monday,11:00,13:00,2:00,TB-416+,Teaching Building Seminar Room 416 - Level 4,16,Kyung Min Nam,"2, 4-13"
LANG3068/S1/01,French 3A,Seminar,18,Monday,11:00,13:00,2:00,PB-112+,Portland Building-Seminar Room 112 - Level 1 (Original name: Student Services Building),24,Eugenie Duthoit (French Tutor),"2, 4-13"
LANG3074/S1/02,Japanese 3A,Seminar,23,Monday,11:00,13:00,2:00,DB-B04+,The Lord Dearing Building - Teaching Room B04,25,Daiho Kitaoka,"2, 4-13"
LANG3072/S1/03,Spanish 3A,Seminar,20,Monday,11:00,13:00,2:00,DB-C09+,The Lord Dearing Building - Teaching Room C09,24,Arminda Nira Hern：?Ndez Castellano,"2, 4-13"
LANG1084/S1/01,Mandarin Listening and Speaking 1A,Seminar,16,Monday,11:00,13:00,2:00,TB-412+,Teaching Building Seminar Room 412 - Level 4,16,Meiying Wu,"2, 4-13"
LANG3080/S1/01,Mandarin 3A,Seminar,10,Monday,11:00,13:00,2:00,TB-221+,Teaching Building Seminar Room 221 - Level 2,18,Vivian Yan,"2, 4-13"
LANG3103/S1/01,Mandarin 4A,Seminar,16,Monday,11:00,13:00,2:00,PB-207+,Portland Building-Seminar Room 207 - Level 2,18,Smile Ye,"2, 4-13"
LANG1082/S1/01,Mandarin 1A,Seminar,7,Monday,11:00,13:00,2:00,PB-218+,Portland Building-Seminar Room 218- Level 2,16,Yolanda Liu,"2, 4-13"
LANG1078/S1/02,Japanese 1A,Seminar,16,Monday,14:00,16:00,2:00,TB-120+,Teaching Building Seminar Room 120 - Level 1,30,Toru Ikarashi,"2, 4-13"
