Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MATH2037/L1/01,Mathematical Analysis,Lecture,29,Monday,9:00,11:00,2:00,DB-A01+,The Lord Dearing Building - Teaching Room A01,30,Behrouz Emamizadeh,"2, 4-14"
MATH1029/L1/01,Applied Mathematics,Lecture,120,Monday,9:00,11:00,2:00,DB-A05+,The Lord Dearing Building - Lecture Hall A05,252,Jie Yang,"2, 4-14"
MATH3033/L1/01,Advanced Mathematical Techniques in ODEs for Engineers,Lecture,16,Monday,11:00,13:00,2:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,Daniele Garrisi,"2, 4-14"
MATH2045/L1/01,Differential Equations and Calculus for Engineers,Lecture,18,Monday,12:00,14:00,2:00,DB-A01+,The Lord Dearing Building - Teaching Room A01,30,Jie Yang,"2, 4-14"
MATH1028/L1/01,Analytical and Computational Foundations,Lecture,125,Monday,12:00,14:00,2:00,DB-A05+,The Lord Dearing Building - Lecture Hall A05,252,Vladimir Toussaint,"2, 4-14"
MATH2025 & MATH2051/L1/01,Differential Equations and Calculus for Engineers,Lecture,55,Monday,12:00,14:00,2:00,IAMET- 121+,IAMET- 121+,99,Shravan Luckraz,"2, 4-14"
"MATH2025 & MATH2051/L1/01 (joint lecture, location/staff please check MATH2025 timetable)","Calculus, Probability and Numerical Methods for Chemical and Environmental Engineering",Lecture,34,Monday,12:00,14:00,2:00,,,,,"2, 4-14"
MATH2032/S1/01,Vector Calculus,Seminar,31,Monday,15:00,16:00,1:00,TB-419+,Teaching Building Seminar Room 419 - Level 4,36,Vladimir Toussaint,"2, 4-14"
MATH1047/S1/01,Mathematical Methods for Chemical and Environmental Engineering,Seminar,48,Monday,15:00,16:00,1:00,DB-A06+,The Lord Dearing Building - Teaching Room A06,90,Tianlun Fei,4月14日
MATH1047/S1/02,Mathematical Methods for Chemical and Environmental Engineering,Seminar,48,Monday,16:00,17:00,1:00,DB-B05+,The Lord Dearing Building - Teaching Room B05,102,Tianlun Fei,4月14日
,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MATH2045/S1/01,Differential Equations and Calculus for Engineers,Lecture,18,Tuesday,9:00,10:00,1:00,DB-B04+,The Lord Dearing Building - Teaching Room B04,25,Jie Yang,"2, 4-14"
MATH1027/L1/01,Calculus,Lecture,120,Tuesday,9:00,11:00,2:00,DB-A05+,The Lord Dearing Building - Lecture Hall A05,252,Shravan Luckraz,"2, 4-14"
MATH2038/L1/01,Statistical Models and Methods,Lecture,29,Tuesday,9:00,11:00,2:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,Yongmei Cai,"2, 4-14"
MATH3033/S1/01,Advanced Mathematical Techniques in ODEs for Engineers,Seminar,16,Tuesday,11:00,12:00,1:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,Daniele Garrisi,"2, 4-14"
MATH2025/W1/01,Differential Equations and Calculus for Engineers,Workshop,20,Tuesday,12:00,13:00,1:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Shravan Luckraz,"2, 4-14"
MATH2035/L1/01,Modelling with Differential Equations,Lecture,30,Tuesday,12:00,14:00,2:00,DB-A01+,The Lord Dearing Building - Teaching Room A01,30,Hayk Mikayelyan,"2, 4-14"
MATH2051/W1/01,"Calculus, Probability and Numerical Methods for Chemical and Environmental Engineering",Workshop,34,Tuesday,14:00,15:00,1:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Shravan Luckraz,"2, 4-14"
MATH1029/S1/01,Applied Mathematics,Seminar,60,Tuesday,16:00,17:00,1:00,DB-A06+,The Lord Dearing Building - Teaching Room A06,90,Jie Yang,"2, 4-14"
MATH2032/L1/01,Vector Calculus,Lecture,31,Tuesday,16:00,18:00,2:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Vladimir Toussaint,"2, 4-14"
MATH1029/S1/02,Applied Mathematics,Seminar,60,Tuesday,17:00,18:00,1:00,DB-A06+,The Lord Dearing Building - Teaching Room A06,90,Jie Yang,"2, 4-14"
,,,,,,,,,,,,
Wednesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MATH2038/S1/01,Statistical Models and Methods,Seminar,29,Wednesday,9:00,10:00,1:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,Yongmei Cai,"2, 4-14"
"MMME1042, MATH1046, MATH1047, MATH1031/L1/01",Mathematics for AEE/CEE/CE/Engineers,Lecture,275,Wednesday,9:00,11:00,2:00,D.H Lawrence Auditorium+,D.H Lawrence Auditorium,977,Tianlun Fei,"2, 4-14"
"MMME1042, MATH1046, MATH1047, MATH1031/L1/01 (joint lecture, location/staff please check MATH1046 timetable)","(joint lecture, location/staff please check MATH1046 timetable) Mathematics for AEE/CEE/CE/Engineers",Lecture,72,Wednesday,9:00,11:00,2:00,,,,,"2, 4-14"
"MMME1042, MATH1046, MATH1047, MATH1031/L1/01 (joint lecture, location/staff please check MATH1046 timetable)","(joint lecture, location/staff please check MATH1046 timetable) Mathematics for AEE/CEE/CE/Engineers",Lecture,40,Wednesday,9:00,11:00,2:00,,,,,"2, 4-14"
MATH2037/S1/01,Mathematical Analysis,Seminar,29,Wednesday,10:00,11:00,1:00,DB-C01+,The Lord Dearing Building - Teaching Room C01,30,Behrouz Emamizadeh,"2, 4-14"
MATH1028/S1/01,Analytical and Computational Foundations,Meetings,60,Wednesday,11:00,12:00,1:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,Vladimir Toussaint,"2, 4-14"
MATH1028/S1/02,Analytical and Computational Foundations,Meetings,60,Wednesday,12:00,13:00,1:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,Vladimir Toussaint,"2, 4-14"
,,,,,,,,,,,,
Thursday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MATH1030/L1/01,Linear Mathematics,Lecture,120,Thursday,9:00,11:00,2:00,DB-A05+,The Lord Dearing Building - Lecture Hall A05,252,Daniele Garrisi,"2, 4-14"
MATH2033/L1/01,Introduction to Scientific Computation,Lecture,31,Thursday,11:00,13:00,2:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Richard Rankin,"2, 4-14"
MATH1028/C1/01,Analytical and Computational Foundations,Computing,60,Thursday,12:00,13:00,1:00,PMB-306(COMP)+,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering,72,"Zhiwei Cheng (Gta),Tianlun Fei","2, 4-14"
MATH1028/C1/02,Analytical and Computational Foundations,Computing,60,Thursday,13:00,14:00,1:00,PMB-306(COMP)+,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering,72,"Zhiwei Cheng (Gta),Tianlun Fei","2, 4-14"
MATH2035/S1/01,Modelling with Differential Equations,Seminar,30,Thursday,14:00,15:00,1:00,DB-A01+,The Lord Dearing Building - Teaching Room A01,30,Hayk Mikayelyan,"2, 4-14"
MATH1046/S1/01,Mathematical Methods for Architectural and Environmental Engineering,Seminar,35,Thursday,15:00,16:00,1:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Tianlun Fei,"2, 4-14"
