Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MMME1039/L1/01,Statics and Dynamics,Lecture,98,Monday,9:00,11:00,2:00,TB-118+,Teaching Building Lecture Hall 118 - Level 1,108,"Robert Pierce,Jiawa Lu","2, 4-14"
MMME2015/C1/01,Materials in Design,Computing,56,Monday,9:00,11:00,2:00,PMB-306(COMP)+,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering,72,Hao Chen,4月14日
MMME3034/P1/01,RSA Design Projects,Practical,1,Monday,9:00,18:00,9:00,PMB-303,PMB Room 303-1 Level 3 - Priority by Faculty Office of Science and Engineering,52,"Xu Sun,Bingjian Liu",4月14日
MMME1044/L1/01,Engineering Design and Design Project,Lecture,98,Monday,11:00,12:00,1:00,TB-118+,Teaching Building Lecture Hall 118 - Level 1,108,Kok-Hoong Wong,"2, 4-14"
MMME3040/L1/01,Advanced Dynamics and Vibration,Seminar,15,Monday,14:00,16:00,2:00,DB-B04+,The Lord Dearing Building - Teaching Room B04,25,"Jian Yang,Dunant Halim","2, 4-14"
MMME1044/P1/E,Engineering Design and Design Project,Practical,14,Monday,15:00,18:00,3:00,PMB-116*,PMB - Lab Room 116 - Level 1 - Engineering Application workshop,18,"Dawei Chen,Xiao Hua,Joseph Zhang","4, 6, 8, 10, 12"
MMME1044/P1/D,Engineering Design and Design Project,Practical,14,Monday,15:00,18:00,3:00,PMB-116*,PMB - Lab Room 116 - Level 1 - Engineering Application workshop,18,"Dawei Chen,Xiao Hua,Joseph Zhang","5, 7, 9, 11, 13"
MMME1019/P1/E,Thermodynamics & Fluid Mechanics 1,Practical,20,Monday,15:00,18:00,3:00,PMB-212*,PMB Lab Room 212 - Level 2 - Thermofluid Lab,24,",Xinyu Zhang",10
MMME2015/L1/01,Materials in Design,Lecture,56,Monday,16:00,18:00,2:00,DB-A04+,DB-A04 - Teaching Room A04,60,Hao Chen,"2, 4-14"
,,,,,,,,,,,,
