Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
BUSI2128/L1/01,Analysing organisations,Lecture,62,Monday,9:00,10:30,1:30,IAMET- 121+,IAMET- 121+,99,Shih-Wei Hsu,"2, 4-13"
BUSI4376/L1/01,Marketing Management in the Digital Economy,Lecture,40,Monday,9:00,11:00,2:00,TB-119+,Teaching Building Seminar Room 119 - Level 1,41,Sathyaprakash Balaji Makam,"2, 4-13"
BUSI4389/L1/01,"Data at Scale: Management, Processing and Visualization",Lecture,35,Monday,9:00,11:00,2:00,PB-418(COMP)+,Portland Building-Computer Lab 418 - Level 4,35,Zhao Cai,"2, 4-13"
BUSI4546/L1/01,Launching New Ventures,Lecture,48,Monday,9:00,11:00,2:00,TB-405+,Teaching Building Seminar Room 405 - Level 4,64,Fei Zhu,"2, 4-13"
BUSI4535/L1/01,Capital Market Analysis,Lecture,172,Monday,9:00,11:00,2:00,PB-329+,Portland Building-Lecture Room 329 - Level 3,276,Xiaogang Bi,"2, 4-13"
BUSI4365/L1/01,Financial Accounting and Reporting,Lecture,24,Monday,9:00,11:00,2:00,PB-201+,PB-203+-Seminar Room 201 - Level 2,30,Juergen Seufert,4月13日
BUSI1074/S1/12,Quantitative Methods 1b,Seminar,20,Monday,9:00,10:00,1:00,TB-110+,Teaching Building Seminar Room 110 - Level 1,30,Tingting Ying,"6, 8, 10, 12"
BUSI3189/S1/01,Business Ethics and Sustainability,Seminar,20,Monday,9:00,10:30,1:30,TB-111+,Teaching Building Seminar Room 111 - Level 1,20,Rajan Gaikwad,"5, 8, 11"
BUSI3189/S1/02,Business Ethics and Sustainability,Seminar,20,Monday,9:00,10:30,1:30,TB-111+,Teaching Building Seminar Room 111 - Level 1,20,Rajan Gaikwad,"6, 9, 12"
BUSI1113/S1 - Autumn/01,Fundamentals of Financial & Management Accounting,Seminar,19,Monday,9:00,10:30,1:30,TB-403+,Teaching Building Seminar Room 403 - Level 4,30,Andrew Edwards,"7, 10"
BUSI3189/S1/03,Business Ethics and Sustainability,Seminar,20,Monday,9:00,10:30,1:30,TB-111+,Teaching Building Seminar Room 111 - Level 1,20,Rajan Gaikwad,"7, 10, 13"
BUSI1113/S1 - Autumn/29,Fundamentals of Financial & Management Accounting,Seminar,19,Monday,9:00,10:30,1:30,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Ching Chau,"8, 11"
BUSI1113/S1 - Autumn/05,Fundamentals of Financial & Management Accounting,Seminar,19,Monday,9:00,10:30,1:30,TB-404+,Teaching Building Seminar Room 404 - Level 4,30,Cass Lai,"8, 11"
BUSI1113/S1 - Autumn/02,Fundamentals of Financial & Management Accounting,Seminar,19,Monday,9:00,10:30,1:30,TB-403+,Teaching Building Seminar Room 403 - Level 4,30,Andrew Edwards,"8, 11"
